"Gene","Mutation_Type","Count"
"MUC19","Frame_Shift_Del",3
"MUC19","Frame_Shift_Ins",10
"MUC19","In_Frame_Del",11
"MUC19","In_Frame_Ins",2
"MUC19","Missense_Mutation",362
"MUC19","Nonsense_Mutation",16
"MUC19","Nonstop_Mutation",9
"MUC19","Splice_Site",10
"MUC4","In_Frame_Ins",10
"MUC4","Missense_Mutation",391
"MUC16","Missense_Mutation",347
"MUC3A","In_Frame_Ins",5
"MUC3A","Missense_Mutation",267
"MUC3A","Nonsense_Mutation",2
"FCGBP","Frame_Shift_Del",12
"FCGBP","Frame_Shift_Ins",19
"FCGBP","In_Frame_Del",6
"FCGBP","Missense_Mutation",219
"FCGBP","Nonsense_Mutation",1
"AHNAK2","In_Frame_Del",1
"AHNAK2","Missense_Mutation",252
"MUC12","Missense_Mutation",231
"PKD1L2","Frame_Shift_Del",3
"PKD1L2","Frame_Shift_Ins",1
"PKD1L2","Missense_Mutation",184
"PKD1L2","Nonsense_Mutation",18
"PKD1L2","Nonstop_Mutation",8
"CCDC168","Missense_Mutation",149
"FSIP2","Missense_Mutation",144
"OBSCN","Missense_Mutation",142
"HLA-B","Missense_Mutation",140
"HRNR","Frame_Shift_Del",8
"HRNR","Missense_Mutation",128
"TTN","Missense_Mutation",125
"ZAN","Frame_Shift_Del",13
"ZAN","In_Frame_Del",2
"ZAN","Missense_Mutation",93
"ZAN","Splice_Site",5
"C1orf167","Missense_Mutation",106
"C1orf167","Nonsense_Mutation",1
"HLA-C","Missense_Mutation",104
"GOLGA6L2","Frame_Shift_Del",8
"GOLGA6L2","In_Frame_Del",8
"GOLGA6L2","In_Frame_Ins",16
"GOLGA6L2","Missense_Mutation",70
"ZNF568","Missense_Mutation",94
"ZNF568","Nonstop_Mutation",7
"FLG","Missense_Mutation",97
"FLG","Nonsense_Mutation",1
"HLA-DRB1","Frame_Shift_Del",6
"HLA-DRB1","Frame_Shift_Ins",3
"HLA-DRB1","Missense_Mutation",81
"HLA-DRB1","Nonsense_Mutation",5
"HLA-DRB1","Splice_Site",2
"PARP4","Missense_Mutation",95
"ALMS1","In_Frame_Del",16
"ALMS1","Missense_Mutation",77
"GPRIN2","In_Frame_Ins",6
"GPRIN2","Missense_Mutation",87
"ZNF717","Frame_Shift_Del",1
"ZNF717","In_Frame_Del",6
"ZNF717","Missense_Mutation",83
"DNAH14","Frame_Shift_Del",1
"DNAH14","Missense_Mutation",88
"SYNE2","Missense_Mutation",85
"SYNE2","Nonsense_Mutation",3
"PRUNE2","In_Frame_Del",8
"PRUNE2","In_Frame_Ins",7
"PRUNE2","Missense_Mutation",72
"FAT1","Missense_Mutation",86
"OR9G1","Missense_Mutation",86
"DNHD1","In_Frame_Ins",8
"DNHD1","Missense_Mutation",77
"PLIN4","Missense_Mutation",85
"RP1L1","In_Frame_Del",2
"RP1L1","Missense_Mutation",82
"ADGRV1","Missense_Mutation",83
"IGFN1","Missense_Mutation",83
"MROH5","Frame_Shift_Ins",1
"MROH5","Missense_Mutation",70
"MROH5","Nonstop_Mutation",6
"MROH5","Splice_Site",5
"ALPK2","In_Frame_Del",6
"ALPK2","Missense_Mutation",74
"FAT2","Missense_Mutation",80
"LAMA5","In_Frame_Del",1
"LAMA5","Missense_Mutation",78
"MUC5B","In_Frame_Del",2
"MUC5B","Missense_Mutation",76
"ZNF469","Missense_Mutation",75
"SPTBN5","Missense_Mutation",73
"SPTBN5","Nonsense_Mutation",1
"DSPP","In_Frame_Del",19
"DSPP","In_Frame_Ins",14
"DSPP","Missense_Mutation",40
"DNAH11","Missense_Mutation",66
"DNAH11","Nonsense_Mutation",5
"MALRD1","Missense_Mutation",70
"NEB","Missense_Mutation",70
"VWDE","Missense_Mutation",67
"VWDE","Nonsense_Mutation",2
"BDP1","Missense_Mutation",67
"ENST00000696174","Missense_Mutation",67
"EYS","Missense_Mutation",67
"CENPF","Missense_Mutation",66
"FNDC1","In_Frame_Del",7
"FNDC1","Missense_Mutation",59
"SYNE1","Missense_Mutation",66
"DNAH17","Missense_Mutation",65
"ADGRE1","Missense_Mutation",62
"OR2T8","Missense_Mutation",62
"COL6A5","Frame_Shift_Del",8
"COL6A5","Missense_Mutation",53
"FAM186A","Missense_Mutation",61
"PKD1L3","Frame_Shift_Del",4
"PKD1L3","Missense_Mutation",53
"PKD1L3","Nonsense_Mutation",4
"MUC22","In_Frame_Del",1
"MUC22","Missense_Mutation",59
"PCNT","In_Frame_Ins",3
"PCNT","Missense_Mutation",56
"GRIN3B","Frame_Shift_Ins",5
"GRIN3B","In_Frame_Del",6
"GRIN3B","Missense_Mutation",46
"MROH2A","Missense_Mutation",55
"MROH2A","Splice_Site",2
"ZNF598","Frame_Shift_Del",8
"ZNF598","In_Frame_Ins",3
"ZNF598","Missense_Mutation",38
"ZNF598","Splice_Site",8
"FBN3","Missense_Mutation",56
"MAGEC1","Missense_Mutation",56
"GARIN5B","In_Frame_Del",6
"GARIN5B","Missense_Mutation",48
"POTEI","Missense_Mutation",54
"RNF213","Missense_Mutation",54
"ZNF534","Missense_Mutation",54
"FRAS1","Missense_Mutation",53
"KRTAP10-1","Frame_Shift_Del",4
"KRTAP10-1","Frame_Shift_Ins",4
"KRTAP10-1","Missense_Mutation",45
"PIEZO1","In_Frame_Del",7
"PIEZO1","In_Frame_Ins",1
"PIEZO1","Missense_Mutation",45
"WDR87","In_Frame_Del",5
"WDR87","Missense_Mutation",47
"MUC17","Frame_Shift_Ins",1
"MUC17","Missense_Mutation",50
"CSNK2A3","Missense_Mutation",50
"CUBN","Missense_Mutation",50
"CYP2A7","Missense_Mutation",50
"DNAH5","Missense_Mutation",50
"OTOG","Missense_Mutation",49
"SVEP1","Missense_Mutation",48
"SVEP1","Splice_Site",1
"TNXB","Frame_Shift_Del",1
"TNXB","Missense_Mutation",48
"CAP1","Missense_Mutation",48
"CDH23","Missense_Mutation",48
"HEATR1","Missense_Mutation",48
"KIR3DL1","Missense_Mutation",48
"NRAP","Missense_Mutation",48
"TG","Missense_Mutation",48
"CCDC187","In_Frame_Ins",1
"CCDC187","Missense_Mutation",46
"OR5H6","In_Frame_Del",7
"OR5H6","Missense_Mutation",40
"ULK4","Missense_Mutation",47
"ANKLE1","In_Frame_Ins",1
"ANKLE1","Missense_Mutation",45
"CAND2","Missense_Mutation",46
"USH2A","Missense_Mutation",46
"CDSN","In_Frame_Del",6
"CDSN","Missense_Mutation",39
"CFAP54","Missense_Mutation",44
"CFAP54","Nonsense_Mutation",1
"HELZ2","Missense_Mutation",45
"OTOGL","Missense_Mutation",45
"PIKFYVE","Missense_Mutation",45
"PTCHD3","Frame_Shift_Ins",5
"PTCHD3","In_Frame_Del",1
"PTCHD3","Missense_Mutation",33
"PTCHD3","Nonstop_Mutation",6
"SHOC1","Missense_Mutation",45
"SPATA31E1","Missense_Mutation",45
"APOB","In_Frame_Del",2
"APOB","Missense_Mutation",42
"CCHCR1","Missense_Mutation",38
"CCHCR1","Nonsense_Mutation",6
"CPAMD8","Missense_Mutation",44
"CRYBG2","Missense_Mutation",44
"DST","Missense_Mutation",44
"OR2T35","Frame_Shift_Del",7
"OR2T35","Frame_Shift_Ins",5
"OR2T35","In_Frame_Ins",3
"OR2T35","Missense_Mutation",29
"OVCH1","Missense_Mutation",44
"ABCA13","Missense_Mutation",43
"ANKRD36","Frame_Shift_Del",1
"ANKRD36","Missense_Mutation",42
"MROH7","Missense_Mutation",43
"MYO18B","Missense_Mutation",43
"MYOM3","Missense_Mutation",43
"OR8D4","Frame_Shift_Ins",1
"OR8D4","Missense_Mutation",42
"PCDHA9","Missense_Mutation",43
"PCLO","In_Frame_Ins",8
"PCLO","Missense_Mutation",35
"PRRC2A","In_Frame_Del",1
"PRRC2A","Missense_Mutation",42
"TEP1","Missense_Mutation",43
"TRIOBP","In_Frame_Del",5
"TRIOBP","Missense_Mutation",38
"VCX2","Missense_Mutation",43
"CELSR1","Missense_Mutation",42
"GEMIN4","Missense_Mutation",42
"KLRC3","Missense_Mutation",42
"MROH2B","Missense_Mutation",38
"MROH2B","Nonsense_Mutation",4
"NWD1","Frame_Shift_Del",1
"NWD1","Missense_Mutation",40
"NWD1","Nonsense_Mutation",1
"SERPINB11","Missense_Mutation",35
"SERPINB11","Nonsense_Mutation",7
"SNX19","Missense_Mutation",42
"WDFY4","Missense_Mutation",42
"CCDC57","Missense_Mutation",41
"HMCN2","Missense_Mutation",41
"HSPG2","Missense_Mutation",41
"MYPN","Missense_Mutation",41
"NAALADL2","Missense_Mutation",41
"PLEC","Missense_Mutation",41
"SIGLEC12","Frame_Shift_Ins",5
"SIGLEC12","Missense_Mutation",33
"SIGLEC12","Nonsense_Mutation",3
"C4orf50","Missense_Mutation",40
"CROCC2","Missense_Mutation",40
"HEG1","In_Frame_Ins",6
"HEG1","Missense_Mutation",34
"IGSF22","Missense_Mutation",40
"MOCOS","Missense_Mutation",40
"NBPF10","In_Frame_Ins",2
"NBPF10","Missense_Mutation",36
"NBPF10","Splice_Site",2
"CD177","Missense_Mutation",39
"CRB2","Missense_Mutation",39
"DDX60L","Missense_Mutation",39
"EPPK1","In_Frame_Del",3
"EPPK1","Missense_Mutation",36
"GMCL2","Missense_Mutation",39
"KLHDC7A","Missense_Mutation",39
"KRT32","Missense_Mutation",39
"NACAD","Missense_Mutation",39
"OR12D2","Missense_Mutation",39
"OR1B1","Frame_Shift_Ins",8
"OR1B1","Missense_Mutation",27
"OR1B1","Nonsense_Mutation",4
"PATJ","Missense_Mutation",39
"TASOR2","Missense_Mutation",39
"HPS4","Missense_Mutation",38
"KNL1","Missense_Mutation",38
"MCPH1","Missense_Mutation",38
"OR1L6","Missense_Mutation",38
"OR2W3","Frame_Shift_Ins",3
"OR2W3","In_Frame_Del",1
"OR2W3","Missense_Mutation",34
"RESF1","Missense_Mutation",38
"AKAP3","Frame_Shift_Del",2
"AKAP3","Frame_Shift_Ins",2
"AKAP3","In_Frame_Ins",1
"AKAP3","Missense_Mutation",32
"CFAP46","Missense_Mutation",37
"EXD3","Missense_Mutation",37
"MUC20","Frame_Shift_Del",4
"MUC20","In_Frame_Del",1
"MUC20","Missense_Mutation",32
"NBPF8","Frame_Shift_Del",4
"NBPF8","Missense_Mutation",27
"NBPF8","Nonsense_Mutation",6
"OR8G2P","Missense_Mutation",37
"TOGARAM2","Missense_Mutation",37
"TSBP1","Missense_Mutation",37
"CLCNKB","Missense_Mutation",36
"CR1","Missense_Mutation",36
"CRYBG1","Missense_Mutation",36
"CYP4F12","Missense_Mutation",35
"CYP4F12","Splice_Site",1
"GBP6","Missense_Mutation",36
"NUP210","Missense_Mutation",36
"OR1I1","Missense_Mutation",36
"OR6C1","Frame_Shift_Ins",5
"OR6C1","Missense_Mutation",31
"PKHD1","Missense_Mutation",36
"SON","Frame_Shift_Del",8
"SON","Frame_Shift_Ins",8
"SON","In_Frame_Del",2
"SON","Missense_Mutation",18
"ADAMTS7","In_Frame_Del",1
"ADAMTS7","Missense_Mutation",34
"CHGB","Missense_Mutation",35
"LAMC3","Missense_Mutation",35
"LILRB3","Missense_Mutation",35
"MICAL2","In_Frame_Ins",5
"MICAL2","Missense_Mutation",30
"MUC2","Missense_Mutation",35
"MYO3A","Missense_Mutation",35
"PRAG1","In_Frame_Del",11
"PRAG1","Missense_Mutation",24
"ZNF778","Frame_Shift_Ins",6
"ZNF778","Missense_Mutation",29
"A2ML1","Missense_Mutation",34
"ALDH3B2","Missense_Mutation",33
"ALDH3B2","Splice_Site",1
"ANKRD24","Missense_Mutation",34
"C10orf71","Missense_Mutation",34
"ESPL1","Missense_Mutation",34
"FAT3","Missense_Mutation",34
"IQGAP2","Missense_Mutation",34
"LILRB1","Missense_Mutation",34
"NID2","Missense_Mutation",34
"OR13F1","Missense_Mutation",34
"PLXND1","Missense_Mutation",34
"RBMXL3","In_Frame_Ins",8
"RBMXL3","Missense_Mutation",26
"SETX","Missense_Mutation",34
"SLC6A18","In_Frame_Ins",1
"SLC6A18","Missense_Mutation",28
"SLC6A18","Nonsense_Mutation",5
"SSC5D","In_Frame_Ins",2
"SSC5D","Missense_Mutation",32
"ZZEF1","Missense_Mutation",34
"COL4A3","Missense_Mutation",33
"DLC1","Missense_Mutation",33
"EPB41L4A","Missense_Mutation",30
"EPB41L4A","Splice_Site",3
"ERAP1","Missense_Mutation",33
"EXO1","Missense_Mutation",33
"HAP1","Missense_Mutation",32
"HAP1","Nonsense_Mutation",1
"MACF1","Missense_Mutation",33
"MEGF6","Missense_Mutation",32
"MEGF6","Splice_Site",1
"MROH8","Missense_Mutation",25
"MROH8","Splice_Site",8
"MSH3","In_Frame_Del",10
"MSH3","In_Frame_Ins",1
"MSH3","Missense_Mutation",22
"MTNAP1","Missense_Mutation",33
"OR11L1","Missense_Mutation",33
"OR4X1","In_Frame_Del",8
"OR4X1","Missense_Mutation",17
"OR4X1","Nonsense_Mutation",8
"PLEKHG4B","Missense_Mutation",33
"PRRC2B","Missense_Mutation",33
"PSG4","Missense_Mutation",33
"SIGLEC1","Missense_Mutation",32
"SIGLEC1","Nonsense_Mutation",1
"STAB1","Missense_Mutation",33
"TNC","Missense_Mutation",33
"TRMT9B","Missense_Mutation",33
"ZNF804A","In_Frame_Ins",3
"ZNF804A","Missense_Mutation",30
"ABCA7","Missense_Mutation",32
"ADAMTSL3","Missense_Mutation",32
"ALPK1","In_Frame_Del",1
"ALPK1","Missense_Mutation",31
"BPIFB4","Missense_Mutation",32
"CCDC66","In_Frame_Ins",13
"CCDC66","Missense_Mutation",19
"COL4A4","Missense_Mutation",32
"DNAH12","Missense_Mutation",32
"KIF20B","In_Frame_Ins",5
"KIF20B","Missense_Mutation",27
"LILRB2","In_Frame_Ins",1
"LILRB2","Missense_Mutation",31
"MYG1","Missense_Mutation",32
"NBPF26","Frame_Shift_Del",1
"NBPF26","Missense_Mutation",31
"NOTCH4","In_Frame_Del",6
"NOTCH4","In_Frame_Ins",2
"NOTCH4","Missense_Mutation",24
"OR8U3","Missense_Mutation",32
"RAET1E","Missense_Mutation",32
"SPTA1","Missense_Mutation",32
"SYTL2","Missense_Mutation",32
"TSPAN10","Frame_Shift_Ins",4
"TSPAN10","Missense_Mutation",28
"UMODL1","Missense_Mutation",31
"UMODL1","Splice_Site",1
"ZDHHC11B","Missense_Mutation",24
"ZDHHC11B","Translation_Start_Site",8
"ZNF681","Frame_Shift_Del",4
"ZNF681","Missense_Mutation",28
"C7orf57","Missense_Mutation",31
"CFAP74","In_Frame_Ins",2
"CFAP74","Missense_Mutation",29
"CRACD","In_Frame_Ins",2
"CRACD","Missense_Mutation",29
"DCHS2","Missense_Mutation",31
"EBLN2","Frame_Shift_Ins",6
"EBLN2","In_Frame_Ins",1
"EBLN2","Missense_Mutation",24
"ESPNL","Missense_Mutation",31
"FAM149A","Missense_Mutation",31
"FMN1","In_Frame_Del",1
"FMN1","Missense_Mutation",30
"KANK4","Missense_Mutation",31
"LRRC37A2","Missense_Mutation",31
"MYO3B","Missense_Mutation",31
"NACA","Missense_Mutation",31
"OBSL1","Missense_Mutation",31
"OR52N4","Missense_Mutation",27
"OR52N4","Nonsense_Mutation",4
"SCARF1","Missense_Mutation",31
"TNN","Missense_Mutation",31
"TYW1B","Frame_Shift_Ins",8
"TYW1B","Missense_Mutation",16
"TYW1B","Nonsense_Mutation",7
"ZC3H3","In_Frame_Ins",1
"ZC3H3","Missense_Mutation",28
"ZC3H3","Nonsense_Mutation",2
"ZNF701","Missense_Mutation",31
"ARMCX4","In_Frame_Ins",4
"ARMCX4","Missense_Mutation",26
"CILP","Missense_Mutation",30
"COBL","In_Frame_Del",4
"COBL","Missense_Mutation",26
"DNAH10","Missense_Mutation",30
"KRTAP4-1","In_Frame_Del",2
"KRTAP4-1","Missense_Mutation",28
"LPA","Missense_Mutation",28
"LPA","Splice_Site",2
"MICB","Missense_Mutation",30
"OR2M7","Missense_Mutation",30
"OR52E4","Missense_Mutation",30
"PKD1L1","Missense_Mutation",30
"PXDNL","Frame_Shift_Del",1
"PXDNL","Missense_Mutation",29
"RHBG","Frame_Shift_Ins",8
"RHBG","Missense_Mutation",22
"SLC35G6","Missense_Mutation",22
"SLC35G6","Nonsense_Mutation",8
"SP110","Missense_Mutation",30
"SPPL2C","Missense_Mutation",30
"VWF","Missense_Mutation",30
"ZFPM1","In_Frame_Del",9
"ZFPM1","Missense_Mutation",21
"ZNF221","Missense_Mutation",30
"APOL4","Frame_Shift_Del",5
"APOL4","Missense_Mutation",23
"APOL4","Splice_Site",1
"CCDC7","Missense_Mutation",28
"CCDC7","Splice_Site",1
"EHBP1L1","Missense_Mutation",29
"FCRL5","Missense_Mutation",29
"KLHL33","Missense_Mutation",29
"LRP2","Missense_Mutation",29
"LUZP1","Missense_Mutation",29
"MIA2","Missense_Mutation",26
"MIA2","Splice_Site",3
"MUC5AC","Frame_Shift_Ins",1
"MUC5AC","Missense_Mutation",28
"NEIL3","Missense_Mutation",29
"OR52N1","Frame_Shift_Del",1
"OR52N1","Missense_Mutation",28
"OVCH2","Missense_Mutation",29
"P2RX7","Missense_Mutation",29
"PERM1","Missense_Mutation",29
"PITRM1","Missense_Mutation",29
"POM121L2","Missense_Mutation",29
"SLC22A24","Missense_Mutation",19
"SLC22A24","Nonsense_Mutation",7
"SLC22A24","Splice_Site",3
"SLC39A4","Missense_Mutation",29
"TICRR","Missense_Mutation",29
"ZNF112","Missense_Mutation",29
"ABO","Frame_Shift_Ins",3
"ABO","Missense_Mutation",24
"ABO","Splice_Site",1
"C3orf20","Missense_Mutation",28
"CEP295","Missense_Mutation",28
"CHIA","Missense_Mutation",28
"DNAH7","Missense_Mutation",28
"EBLN1","In_Frame_Ins",6
"EBLN1","Missense_Mutation",22
"EFHB","Missense_Mutation",28
"FREM1","Missense_Mutation",28
"FYCO1","Missense_Mutation",28
"KRT10","In_Frame_Del",5
"KRT10","In_Frame_Ins",3
"KRT10","Missense_Mutation",20
"KRT77","Missense_Mutation",28
"LGALS8","Missense_Mutation",28
"LINS1","Missense_Mutation",28
"MYH4","Missense_Mutation",27
"MYH4","Splice_Site",1
"NUGGC","Missense_Mutation",28
"OR51B2","Missense_Mutation",28
"OR8H2","Missense_Mutation",28
"PDLIM5","Missense_Mutation",28
"POLQ","Missense_Mutation",28
"PPL","Missense_Mutation",28
"RBM19","In_Frame_Ins",1
"RBM19","Missense_Mutation",27
"SEC16B","Missense_Mutation",28
"SPATA31F1","Missense_Mutation",28
"TNRC18","Missense_Mutation",28
"TRIM66","Missense_Mutation",28
"TUBGCP6","Missense_Mutation",28
"ABCC6","Missense_Mutation",27
"ADGRE2","Missense_Mutation",27
"CCDC170","Missense_Mutation",27
"DZIP1L","Missense_Mutation",27
"EFCAB8","Missense_Mutation",27
"FN1","Missense_Mutation",27
"GEN1","Frame_Shift_Del",1
"GEN1","Missense_Mutation",26
"GLIS1","Missense_Mutation",27
"ITPRID1","Missense_Mutation",27
"KRTAP10-5","Missense_Mutation",27
"OR4D6","Frame_Shift_Del",1
"OR4D6","Missense_Mutation",26
"PPP1R3A","Missense_Mutation",27
"RECQL4","Missense_Mutation",27
"RPSA2","Missense_Mutation",27
"RREB1","Missense_Mutation",27
"SH3RF2","Missense_Mutation",27
"SLC22A1","In_Frame_Del",3
"SLC22A1","Missense_Mutation",17
"SLC22A1","Splice_Site",7
"TAS1R2","Missense_Mutation",27
"TCHH","In_Frame_Ins",2
"TCHH","Missense_Mutation",25
"UBQLNL","Missense_Mutation",27
"ZNF214","Missense_Mutation",27
"ZNF283","In_Frame_Del",5
"ZNF283","Missense_Mutation",22
"ZNF543","Missense_Mutation",26
"ZNF543","Nonsense_Mutation",1
"ABCA1","Missense_Mutation",26
"AKNAD1","Missense_Mutation",26
"AMACR","Missense_Mutation",26
"CRYBG3","Missense_Mutation",26
"DMKN","Frame_Shift_Ins",2
"DMKN","In_Frame_Ins",4
"DMKN","Missense_Mutation",20
"EIF2AK3","In_Frame_Del",8
"EIF2AK3","Missense_Mutation",18
"ETAA1","Missense_Mutation",26
"FAM184B","Missense_Mutation",26
"GLTPD2","Missense_Mutation",26
"HAVCR1","In_Frame_Del",8
"HAVCR1","In_Frame_Ins",5
"HAVCR1","Missense_Mutation",13
"HRC","In_Frame_Del",6
"HRC","In_Frame_Ins",8
"HRC","Missense_Mutation",12
"KNDC1","Missense_Mutation",26
"LAMA1","Missense_Mutation",26
"MAP2K3","Missense_Mutation",25
"MAP2K3","Nonsense_Mutation",1
"MROH6","Frame_Shift_Ins",5
"MROH6","Missense_Mutation",21
"OR2B11","Frame_Shift_Del",5
"OR2B11","Missense_Mutation",21
"OR2T12","Missense_Mutation",26
"PADI4","Missense_Mutation",26
"PZP","Missense_Mutation",26
"RTTN","In_Frame_Ins",8
"RTTN","Missense_Mutation",18
"SDR39U1","Missense_Mutation",26
"SLC15A5","Missense_Mutation",26
"SLC29A3","Missense_Mutation",26
"SLC6A5","Missense_Mutation",26
"SPEF2","Missense_Mutation",26
"TACC2","Missense_Mutation",26
"TUBA3E","Missense_Mutation",26
"USP36","In_Frame_Del",7
"USP36","Missense_Mutation",19
"VWA3B","Missense_Mutation",26
"ZNF224","Missense_Mutation",26
"ZNF761","Missense_Mutation",26
"ACIN1","In_Frame_Del",1
"ACIN1","In_Frame_Ins",5
"ACIN1","Missense_Mutation",19
"APOL1","Missense_Mutation",25
"C11orf16","Missense_Mutation",25
"CACNA1H","Missense_Mutation",25
"CEP131","Missense_Mutation",25
"CNPPD1","Missense_Mutation",25
"COL5A3","Missense_Mutation",25
"FAM90A1","In_Frame_Ins",8
"FAM90A1","Missense_Mutation",17
"FMN2","In_Frame_Del",10
"FMN2","Missense_Mutation",15
"FOXQ1","Missense_Mutation",25
"GRK4","Missense_Mutation",25
"KIAA1614","Missense_Mutation",25
"MRGPRX4","Missense_Mutation",25
"MTCL1","Missense_Mutation",25
"NLRC5","Missense_Mutation",25
"OR2G2","Missense_Mutation",25
"OR4C16","Missense_Mutation",22
"OR4C16","Nonsense_Mutation",3
"OR8S1","Missense_Mutation",25
"PARP10","Missense_Mutation",25
"PCDHB8","Missense_Mutation",25
"SHROOM3","Missense_Mutation",25
"SPMIP4","Missense_Mutation",25
"SRRM5","Missense_Mutation",25
"TOPAZ1","Missense_Mutation",25
"TPTE","In_Frame_Del",2
"TPTE","Missense_Mutation",22
"TPTE","Nonsense_Mutation",1
"TUBA4B","Missense_Mutation",25
"VSIG10L","Frame_Shift_Ins",8
"VSIG10L","Missense_Mutation",17
"XKR3","Missense_Mutation",25
"ZNF665","Missense_Mutation",25
"ACTN3","Missense_Mutation",19
"ACTN3","Nonsense_Mutation",5
"ADAMTS8","In_Frame_Del",8
"ADAMTS8","Missense_Mutation",16
"ANKRD35","Missense_Mutation",24
"ATP13A5","Missense_Mutation",24
"CDHR5","Missense_Mutation",24
"CEACAM20","Missense_Mutation",24
"EVC","Missense_Mutation",24
"FAM90A12","Missense_Mutation",24
"FAT4","Missense_Mutation",24
"FMO2","Frame_Shift_Ins",4
"FMO2","Missense_Mutation",12
"FMO2","Nonsense_Mutation",8
"HEATR5A","Missense_Mutation",24
"INMT","Missense_Mutation",24
"KIF7","Missense_Mutation",24
"KRI1","In_Frame_Del",1
"KRI1","Missense_Mutation",23
"LAIR1","Missense_Mutation",24
"LRIG1","Missense_Mutation",24
"MAP3K1","In_Frame_Del",8
"MAP3K1","Missense_Mutation",16
"MEAK7","Missense_Mutation",24
"MYCBPAP","Missense_Mutation",24
"MYO15A","Missense_Mutation",24
"NLRP5","Missense_Mutation",24
"NMUR2","Missense_Mutation",24
"NOL9","Missense_Mutation",24
"NOM1","Missense_Mutation",24
"OR4L1","Frame_Shift_Del",3
"OR4L1","Missense_Mutation",21
"PCDHA10","Missense_Mutation",24
"PER3","In_Frame_Del",3
"PER3","Missense_Mutation",21
"RYR3","In_Frame_Del",2
"RYR3","Missense_Mutation",22
"SRSF4","Missense_Mutation",24
"SYNM","Missense_Mutation",24
"ZFYVE16","Missense_Mutation",24
"ARHGEF26","Missense_Mutation",23
"CD109","Missense_Mutation",23
"CDH17","Missense_Mutation",23
"CGNL1","Missense_Mutation",23
"CLCA1","Missense_Mutation",23
"COL17A1","In_Frame_Del",1
"COL17A1","Missense_Mutation",22
"DNAAF8","Missense_Mutation",23
"EXPH5","Missense_Mutation",23
"FPR1","Missense_Mutation",23
"HCAR3","Missense_Mutation",23
"HERC1","Missense_Mutation",23
"IER5","Missense_Mutation",23
"KRT72","Missense_Mutation",23
"LATS2","In_Frame_Ins",5
"LATS2","Missense_Mutation",18
"MYLK","In_Frame_Del",1
"MYLK","Missense_Mutation",22
"MYOM1","Missense_Mutation",23
"OR1N2","Missense_Mutation",23
"OR2A1","Missense_Mutation",23
"OR2T27","In_Frame_Del",3
"OR2T27","Missense_Mutation",20
"PCDHB7","Missense_Mutation",23
"PCDHB9","Missense_Mutation",23
"PLBD1","In_Frame_Del",8
"PLBD1","Missense_Mutation",15
"PRRC2C","Missense_Mutation",23
