"Gene","Mutation_Type","Count"
"PRX","Missense_Mutation",23
"RNF175","Missense_Mutation",23
"RP1","Missense_Mutation",23
"SERPINA9","In_Frame_Del",1
"SERPINA9","Missense_Mutation",22
"SIRPB1","Missense_Mutation",23
"SLC15A2","Missense_Mutation",23
"TMPRSS11B","Missense_Mutation",23
"TNS1","In_Frame_Ins",1
"TNS1","Missense_Mutation",22
"TPCN2","Missense_Mutation",23
"TRPM1","Missense_Mutation",23
"TTBK1","In_Frame_Del",4
"TTBK1","Missense_Mutation",19
"TTLL8","Missense_Mutation",23
"USP6","Missense_Mutation",21
"USP6","Nonsense_Mutation",2
"WNK1","Missense_Mutation",23
"ZNF772","In_Frame_Ins",7
"ZNF772","Missense_Mutation",16
"ADAMTS16","Missense_Mutation",22
"AGXT2","Missense_Mutation",22
"ANKRD30B","Missense_Mutation",22
"ARHGEF37","Missense_Mutation",22
"CCDC178","Missense_Mutation",22
"CEP55","Missense_Mutation",22
"CFAP44","Missense_Mutation",22
"CLEC1B","Missense_Mutation",22
"CPZ","Missense_Mutation",22
"CR1L","Missense_Mutation",22
"DNAH9","Missense_Mutation",22
"DYNC2H1","Missense_Mutation",22
"ERICH3","In_Frame_Del",2
"ERICH3","Missense_Mutation",20
"GOLGA8S","Missense_Mutation",22
"GPLD1","Missense_Mutation",22
"GREB1","Missense_Mutation",22
"GSE1","Missense_Mutation",22
"HCLS1","Missense_Mutation",22
"HTT","In_Frame_Del",6
"HTT","In_Frame_Ins",1
"HTT","Missense_Mutation",15
"IFI16","Missense_Mutation",22
"IL7R","Missense_Mutation",22
"KIAA0319","Missense_Mutation",22
"LY75","Missense_Mutation",22
"MMP17","In_Frame_Del",1
"MMP17","In_Frame_Ins",9
"MMP17","Missense_Mutation",12
"MYO9B","Missense_Mutation",22
"OR2A14","In_Frame_Del",8
"OR2A14","Missense_Mutation",14
"OR6Q1","Frame_Shift_Del",6
"OR6Q1","Missense_Mutation",16
"OTOP3","Missense_Mutation",22
"PCM1","Missense_Mutation",22
"PODXL","Frame_Shift_Del",4
"PODXL","In_Frame_Del",5
"PODXL","Missense_Mutation",13
"PTPRN2","Missense_Mutation",22
"PUS3","Missense_Mutation",22
"RIN3","In_Frame_Del",8
"RIN3","Missense_Mutation",14
"RNF43","Missense_Mutation",22
"SH3TC1","Missense_Mutation",22
"SLC14A2","Missense_Mutation",22
"SLC22A14","Frame_Shift_Del",1
"SLC22A14","Missense_Mutation",21
"SLFN14","Missense_Mutation",22
"SPATA31A1","Missense_Mutation",22
"SYT8","Missense_Mutation",22
"THAP9","Missense_Mutation",22
"TRDN","Missense_Mutation",22
"TTC21A","Missense_Mutation",22
"UGT2B28","Missense_Mutation",22
"WASH6P","In_Frame_Ins",3
"WASH6P","Missense_Mutation",19
"ZNFX1","Missense_Mutation",22
"ABCA5","Missense_Mutation",21
"ABCB5","Missense_Mutation",21
"AKAP9","In_Frame_Ins",3
"AKAP9","Missense_Mutation",18
"AKNA","Missense_Mutation",21
"BANK1","Missense_Mutation",21
"BRCA2","Missense_Mutation",21
"C15orf39","Missense_Mutation",21
"CCDC88B","Missense_Mutation",21
"CELA2B","Missense_Mutation",21
"CFAP251","In_Frame_Ins",8
"CFAP251","Missense_Mutation",13
"CFAP69","Missense_Mutation",21
"COL28A1","Missense_Mutation",21
"DIDO1","Missense_Mutation",21
"DNAI4","Missense_Mutation",21
"ECHDC3","Missense_Mutation",21
"ERCC5","Missense_Mutation",21
"EXOC3L4","Missense_Mutation",21
"FRMPD2","Missense_Mutation",21
"GPRC6A","Frame_Shift_Ins",2
"GPRC6A","In_Frame_Ins",2
"GPRC6A","Missense_Mutation",16
"GPRC6A","Nonsense_Mutation",1
"IQGAP3","Missense_Mutation",21
"KCNJ18","Missense_Mutation",21
"KIF2B","Missense_Mutation",21
"LAMC1","Missense_Mutation",20
"LAMC1","Splice_Site",1
"MAN2B2","Missense_Mutation",21
"MCC","In_Frame_Ins",5
"MCC","Missense_Mutation",16
"MUCL3","Missense_Mutation",21
"NCOR2","In_Frame_Ins",15
"NCOR2","Missense_Mutation",6
"NES","Missense_Mutation",21
"NLRP6","Missense_Mutation",21
"NUP153","Missense_Mutation",21
"OR2T29","Missense_Mutation",21
"OR7C1","Missense_Mutation",21
"OR8B4","Missense_Mutation",21
"OR8U1","Missense_Mutation",21
"PCDHA3","Missense_Mutation",21
"PDILT","Missense_Mutation",21
"PFAS","Missense_Mutation",21
"PIWIL3","Missense_Mutation",21
"PM20D1","Missense_Mutation",21
"REPIN1","In_Frame_Del",2
"REPIN1","Missense_Mutation",19
"RNF212","Missense_Mutation",21
"RRBP1","Missense_Mutation",21
"SALL3","Missense_Mutation",21
"SMG6","Missense_Mutation",21
"SMYD4","Missense_Mutation",21
"STEAP2","Missense_Mutation",21
"SVIL","Missense_Mutation",21
"TEX48","Missense_Mutation",21
"TNR","Missense_Mutation",21
"TRHDE","In_Frame_Ins",5
"TRHDE","Missense_Mutation",16
"TRIM42","Missense_Mutation",21
"WDR62","Missense_Mutation",21
"WFS1","Missense_Mutation",21
"ZFHX3","In_Frame_Del",2
"ZFHX3","In_Frame_Ins",1
"ZFHX3","Missense_Mutation",18
"ZNF646","Missense_Mutation",21
"ADAM8","Missense_Mutation",20
"ADAMTS14","Missense_Mutation",20
"AOC1","Missense_Mutation",20
"ASMTL","Frame_Shift_Del",3
"ASMTL","Missense_Mutation",17
"ATG2B","Missense_Mutation",20
"BRWD1","Missense_Mutation",20
"CPEB2","In_Frame_Ins",5
"CPEB2","Missense_Mutation",15
"CPN2","Missense_Mutation",16
"CPN2","Nonsense_Mutation",4
"CYP1B1","Missense_Mutation",20
"DNAH8","Missense_Mutation",20
"DUOX2","Missense_Mutation",20
"EFCAB6","Missense_Mutation",20
"ELAPOR1","Missense_Mutation",20
"FRMD4B","Missense_Mutation",20
"GALC","Missense_Mutation",20
"GDPGP1","Missense_Mutation",20
"GSDMA","Missense_Mutation",20
"HKDC1","Missense_Mutation",20
"HS3ST6","Missense_Mutation",20
"ICE1","Missense_Mutation",20
"IGHMBP2","Missense_Mutation",20
"KRT15","Missense_Mutation",20
"KRT27","Missense_Mutation",20
"KRTAP10-3","Missense_Mutation",20
"LRP4","Missense_Mutation",20
"MAGEC3","Missense_Mutation",20
"MMP20","Missense_Mutation",20
"NLRP14","Missense_Mutation",20
"NSUN7","Missense_Mutation",20
"OR11G2","Frame_Shift_Ins",8
"OR11G2","Missense_Mutation",12
"OR2C3","Missense_Mutation",20
"OR5D14","Missense_Mutation",20
"OR6S1","Missense_Mutation",20
"OR8H3","Missense_Mutation",20
"PGLYRP4","Missense_Mutation",20
"POTEC","Missense_Mutation",20
"PREX1","Missense_Mutation",20
"RAET1L","Missense_Mutation",20
"SAA1","Missense_Mutation",20
"SLC2A9","Missense_Mutation",20
"SMR3A","Missense_Mutation",20
"SYCE1L","Missense_Mutation",20
"TAF3","Missense_Mutation",20
"TGM3","Missense_Mutation",20
"TNFRSF10A","Missense_Mutation",20
"TRIM51G","Missense_Mutation",12
"TRIM51G","Nonsense_Mutation",1
"TRIM51G","Splice_Site",7
"UBD","Missense_Mutation",20
"VCX","Missense_Mutation",20
"WDR72","Missense_Mutation",20
"ZNF607","Missense_Mutation",20
"ZSCAN5C","Missense_Mutation",20
"ADGRE3","Missense_Mutation",19
"ANKRD12","Missense_Mutation",19
"APOBR","In_Frame_Del",5
"APOBR","Missense_Mutation",14
"ASPM","Missense_Mutation",19
"BRDT","Missense_Mutation",19
"BTBD8","Missense_Mutation",19
"CCDC154","Missense_Mutation",19
"CCDC183","Missense_Mutation",19
"CCDC33","In_Frame_Del",7
"CCDC33","Missense_Mutation",12
"COL12A1","Missense_Mutation",19
"COL24A1","Missense_Mutation",19
"CORIN","Missense_Mutation",19
"CSNKA2IP","Missense_Mutation",19
"DHRSX","Missense_Mutation",19
"DMD","Missense_Mutation",19
"ERCC6","Missense_Mutation",19
"FAM178B","Missense_Mutation",19
"FAM217A","Missense_Mutation",19
"FBRSL1","In_Frame_Del",1
"FBRSL1","Missense_Mutation",18
"FGL1","Missense_Mutation",19
"FHOD3","Missense_Mutation",19
"FSCB","Missense_Mutation",19
"GANC","Missense_Mutation",19
"GARIN4","Missense_Mutation",19
"GC","Missense_Mutation",19
"GTPBP10","Missense_Mutation",19
"HACD1","Missense_Mutation",19
"HELQ","Missense_Mutation",19
"HNF1A","Missense_Mutation",19
"HYDIN","Missense_Mutation",19
"ITGAE","Missense_Mutation",19
"KRTAP10-11","Missense_Mutation",19
"LORICRIN","In_Frame_Ins",14
"LORICRIN","Missense_Mutation",5
"LOXHD1","In_Frame_Del",1
"LOXHD1","Missense_Mutation",17
"LOXHD1","Translation_Start_Site",1
"LRRC37A","Missense_Mutation",19
"MAML3","In_Frame_Del",16
"MAML3","Missense_Mutation",3
"MGAM","Missense_Mutation",19
"MMP27","Missense_Mutation",19
"MYOM2","Missense_Mutation",19
"NAT2","Missense_Mutation",19
"NCR2","Missense_Mutation",19
"OR5W2","Missense_Mutation",19
"PCDHB6","Missense_Mutation",19
"PCSK9","In_Frame_Ins",1
"PCSK9","Missense_Mutation",18
"PNPLA1","Missense_Mutation",19
"PSD3","Missense_Mutation",19
"RAB11FIP1","Missense_Mutation",19
"RPAP1","Missense_Mutation",19
"SCN10A","Missense_Mutation",19
"SFI1","Missense_Mutation",19
"SKIC2","Missense_Mutation",19
"SPHKAP","Missense_Mutation",19
"SPMIP2","Missense_Mutation",19
"SPON2","Missense_Mutation",19
"SULT1A2","Missense_Mutation",19
"SUSD5","Missense_Mutation",19
"TELO2","Missense_Mutation",19
"TMC3","Missense_Mutation",19
"TRIM51","Missense_Mutation",18
"TRIM51","Splice_Site",1
"TULP1","Missense_Mutation",19
"UBAP2","Missense_Mutation",19
"UBXN11","In_Frame_Del",4
"UBXN11","Missense_Mutation",15
"VARS2","Missense_Mutation",19
"ZNF142","In_Frame_Del",1
"ZNF142","Missense_Mutation",18
"ZNF28","Missense_Mutation",19
"ANO9","Missense_Mutation",18
"ARHGAP45","Missense_Mutation",18
"ARHGEF4","Missense_Mutation",18
"ASB16","Missense_Mutation",18
"ASTN1","Missense_Mutation",18
"ATG2A","Missense_Mutation",18
"BPIFB3","Missense_Mutation",18
"CACNA1A","In_Frame_Del",9
"CACNA1A","Missense_Mutation",9
"CD5","Missense_Mutation",18
"CDCP1","Missense_Mutation",18
"CFAP99","Missense_Mutation",18
"CNGB3","Missense_Mutation",18
"CNTRL","Missense_Mutation",18
"COL6A6","Missense_Mutation",18
"CTU2","Frame_Shift_Ins",2
"CTU2","Missense_Mutation",9
"CTU2","Splice_Site",7
"DHTKD1","Missense_Mutation",18
"DISP3","Missense_Mutation",18
"DNAH6","In_Frame_Del",1
"DNAH6","Missense_Mutation",17
"EGF","In_Frame_Ins",1
"EGF","Missense_Mutation",17
"FAM90A20","Missense_Mutation",18
"FEZ2","Missense_Mutation",18
"FNDC7","Frame_Shift_Del",1
"FNDC7","Missense_Mutation",17
"GOLGA8R","Missense_Mutation",18
"GPAM","Missense_Mutation",18
"GUCA1C","Missense_Mutation",14
"GUCA1C","Splice_Site",4
"HELB","Frame_Shift_Del",1
"HELB","Missense_Mutation",17
"HOXA4","Missense_Mutation",18
"IQSEC3","Missense_Mutation",18
"IRAG1","Missense_Mutation",18
"ITPKB","In_Frame_Del",5
"ITPKB","Missense_Mutation",13
"KRTAP9-1","In_Frame_Ins",8
"KRTAP9-1","Missense_Mutation",8
"KRTAP9-1","Translation_Start_Site",2
"LTF","In_Frame_Ins",8
"LTF","Missense_Mutation",10
"MAST2","Missense_Mutation",18
"NPSR1","Missense_Mutation",15
"NPSR1","Nonsense_Mutation",3
"NUTM2D","Missense_Mutation",18
"OR10A2","Missense_Mutation",18
"OR10H3","Missense_Mutation",18
"OR10J1","Missense_Mutation",17
"OR10J1","Nonsense_Mutation",1
"OR1Q1","Missense_Mutation",18
"OR2D2","Missense_Mutation",18
"OR2J2","Missense_Mutation",18
"OR52E2","Missense_Mutation",18
"OR5T2","Missense_Mutation",18
"OTUD7A","In_Frame_Del",8
"OTUD7A","Missense_Mutation",10
"PCNX3","In_Frame_Del",1
"PCNX3","Missense_Mutation",17
"PLB1","Missense_Mutation",17
"PLB1","Splice_Site",1
"PLEKHG2","Missense_Mutation",18
"PNLIPRP3","Frame_Shift_Ins",1
"PNLIPRP3","Missense_Mutation",17
"QSER1","Missense_Mutation",18
"RADIL","Missense_Mutation",18
"SAC3D1","Missense_Mutation",18
"SEC14L3","Missense_Mutation",18
"SEMA5B","Missense_Mutation",18
"SLCO1B3","Missense_Mutation",18
"SPOCD1","Missense_Mutation",18
"SYDE2","Missense_Mutation",18
"TEKTL1","Missense_Mutation",18
"TIMELESS","Missense_Mutation",18
"TMEM132C","Missense_Mutation",18
"TRPM2","Missense_Mutation",17
"TRPM2","Nonsense_Mutation",1
"VSIG10L2","Missense_Mutation",18
"WDR17","Missense_Mutation",18
"ZNF419","Missense_Mutation",18
"ZNF708","Missense_Mutation",18
"ZNF831","Missense_Mutation",18
"A2M","Missense_Mutation",16
"A2M","Splice_Site",1
"ABCA6","Frame_Shift_Del",1
"ABCA6","Missense_Mutation",16
"ABCG8","Missense_Mutation",17
"ACOT6","Missense_Mutation",17
"AGAP4","Missense_Mutation",17
"ARMC9","Missense_Mutation",16
"ARMC9","Splice_Site",1
"BCO2","Missense_Mutation",17
"BOD1L1","Missense_Mutation",17
"BPIFB6","Missense_Mutation",17
"C5AR1","Missense_Mutation",17
"CCDC177","In_Frame_Del",8
"CCDC177","Missense_Mutation",9
"CD33","Frame_Shift_Del",1
"CD33","Missense_Mutation",16
"CDC20B","Missense_Mutation",17
"CDON","Missense_Mutation",17
"CROCC","Missense_Mutation",17
"DBN1","Missense_Mutation",17
"DMBT1","Missense_Mutation",17
"DNAH2","Missense_Mutation",17
"EIF2AK4","In_Frame_Ins",4
"EIF2AK4","Missense_Mutation",13
"EML4","Missense_Mutation",17
"ENPEP","Missense_Mutation",16
"ENPEP","Nonsense_Mutation",1
"EPHA1","Missense_Mutation",17
"ERICH6B","In_Frame_Del",5
"ERICH6B","Missense_Mutation",12
"FBXW8","Missense_Mutation",17
"FNIP1","Missense_Mutation",17
"FOXD2","In_Frame_Ins",8
"FOXD2","Missense_Mutation",9
"FREM2","Missense_Mutation",17
"GLB1","Missense_Mutation",17
"GLIS3","Missense_Mutation",17
"GLYATL3","Missense_Mutation",17
"GOLGA8M","Missense_Mutation",17
"HFM1","Missense_Mutation",17
"IL17RC","Missense_Mutation",17
"ITGA11","Missense_Mutation",17
"KIF17","Missense_Mutation",17
"KLHDC7B","In_Frame_Del",1
"KLHDC7B","Missense_Mutation",16
"KRT4","In_Frame_Ins",7
"KRT4","Missense_Mutation",10
"KRT7","Missense_Mutation",17
"MAVS","Missense_Mutation",17
"METTL4","Missense_Mutation",17
"MGA","Missense_Mutation",17
"MIA3","Missense_Mutation",17
"MLIP","Missense_Mutation",17
"MPRIP","In_Frame_Del",8
"MPRIP","Missense_Mutation",8
"MPRIP","Splice_Site",1
"MTRR","Missense_Mutation",17
"MYORG","Missense_Mutation",13
"MYORG","Nonsense_Mutation",4
"NLE1","Missense_Mutation",17
"OAF","Missense_Mutation",17
"OR2A25","Missense_Mutation",17
"OR2C1","Frame_Shift_Del",2
"OR2C1","Missense_Mutation",15
"OR51V1","Missense_Mutation",17
"OR52W1","Missense_Mutation",17
"PALM2AKAP2","In_Frame_Ins",1
"PALM2AKAP2","Missense_Mutation",16
"PCDHB3","Missense_Mutation",17
"PEAR1","Missense_Mutation",17
"PKD1","Missense_Mutation",17
"PLA2G3","Missense_Mutation",17
"SLFN11","Missense_Mutation",17
"SMCR8","Missense_Mutation",17
"SPATA20","Missense_Mutation",17
"SYNC","Missense_Mutation",17
"TBC1D32","Missense_Mutation",17
"TET1","Missense_Mutation",17
"THSD7B","Missense_Mutation",16
"THSD7B","Splice_Site",1
"TMC4","Missense_Mutation",17
"TMEM177","Missense_Mutation",17
"TNFRSF10B","Missense_Mutation",17
"TRPV5","Missense_Mutation",17
"USP24","In_Frame_Ins",1
"USP24","Missense_Mutation",16
"WDR25","Missense_Mutation",17
"ZBTB40","Missense_Mutation",17
"ZG16","Missense_Mutation",17
"ZNF117","Missense_Mutation",9
"ZNF117","Nonsense_Mutation",8
"ZNF138","Missense_Mutation",17
"ZNF155","Missense_Mutation",17
"ZNF654","Missense_Mutation",17
"ADAMTS17","In_Frame_Del",1
"ADAMTS17","Missense_Mutation",15
"AKR1C3","Missense_Mutation",8
"AKR1C3","Translation_Start_Site",8
"AMH","Missense_Mutation",16
"ARVCF","Missense_Mutation",16
"ATP10A","Missense_Mutation",16
"BTLA","Missense_Mutation",16
"C11orf97","Missense_Mutation",16
"C2orf80","Missense_Mutation",16
"C8orf48","Missense_Mutation",16
"CCDC17","Missense_Mutation",16
"CD164L2","Missense_Mutation",16
"CD300LF","Missense_Mutation",16
"CD52","Missense_Mutation",16
"CENPN","Missense_Mutation",16
"CEP350","Missense_Mutation",16
"CFAP221","Missense_Mutation",16
"CHL1","Missense_Mutation",16
"CLHC1","Missense_Mutation",16
"CNGB1","In_Frame_Ins",1
"CNGB1","Missense_Mutation",15
"COG3","Missense_Mutation",16
"COLEC12","Missense_Mutation",16
"CSMD3","Missense_Mutation",16
"CTC1","Missense_Mutation",16
"DCLK2","Missense_Mutation",16
"DSG1","Missense_Mutation",16
"DTHD1","Missense_Mutation",16
"DTL","Missense_Mutation",16
"DUSP5","Missense_Mutation",16
"EIF4G1","Missense_Mutation",16
"EME1","In_Frame_Ins",5
"EME1","Missense_Mutation",11
"ENTREP2","Missense_Mutation",16
"EPHB6","In_Frame_Del",7
"EPHB6","In_Frame_Ins",1
"EPHB6","Missense_Mutation",8
"FAM174B","In_Frame_Del",8
"FAM174B","Missense_Mutation",8
"FAM47E","Missense_Mutation",16
"FSHR","Missense_Mutation",16
"GAGE10","Missense_Mutation",16
"GOLGA6L7","In_Frame_Del",9
"GOLGA6L7","Missense_Mutation",7
"GPR62","Missense_Mutation",16
"KIAA0586","Missense_Mutation",16
"KLF14","Missense_Mutation",16
"KPRP","Missense_Mutation",16
"KRBA1","Missense_Mutation",16
"KRT13","Missense_Mutation",16
"KRT14","Missense_Mutation",16
"KRT71","Missense_Mutation",16
"LAMA4","Missense_Mutation",16
"LCT","Missense_Mutation",16
"LRIT3","Missense_Mutation",16
"LURAP1L","In_Frame_Ins",8
"LURAP1L","Missense_Mutation",8
"MAGEA10","Missense_Mutation",16
"MAP3K4","In_Frame_Del",8
"MAP3K4","Missense_Mutation",8
"MCF2L2","Missense_Mutation",16
"MORC1","Missense_Mutation",16
"MS4A13","Missense_Mutation",16
"MTRF1L","Missense_Mutation",16
"MYO1C","Missense_Mutation",16
"MYO5B","In_Frame_Ins",4
"MYO5B","Missense_Mutation",12
"MYO7A","In_Frame_Ins",1
"MYO7A","Missense_Mutation",15
"NAV2","Missense_Mutation",16
"NCAPD2","Missense_Mutation",16
"NEDD4","Missense_Mutation",16
"NISCH","Missense_Mutation",16
"NLRP11","Missense_Mutation",16
"NOP14","Missense_Mutation",16
"NPIPB15","In_Frame_Del",3
"NPIPB15","Missense_Mutation",13
"NUDT22","Missense_Mutation",16
"OR14A16","In_Frame_Del",8
"OR14A16","Missense_Mutation",8
"OR5AU1","Missense_Mutation",16
"PABPC4L","Missense_Mutation",16
"PCDH12","In_Frame_Ins",4
"PCDH12","Missense_Mutation",12
"PCDHB11","Missense_Mutation",16
"PDE11A","In_Frame_Ins",7
"PDE11A","Missense_Mutation",9
"PIK3R2","Missense_Mutation",16
"PKD2L2","Missense_Mutation",16
"PLIN3","Missense_Mutation",16
"PNPLA3","Missense_Mutation",16
"PRSS55","Missense_Mutation",16
"RAD51AP2","Missense_Mutation",16
"SBK2","Missense_Mutation",16
"SCARF2","Missense_Mutation",16
"SCUBE1","Missense_Mutation",16
"SFTPD","Missense_Mutation",16
"SHANK3","Frame_Shift_Del",6
"SHANK3","Missense_Mutation",9
"SHANK3","Splice_Site",1
"SIRPG","Missense_Mutation",16
"SIX5","Missense_Mutation",16
"SLC52A1","Missense_Mutation",16
"SOHLH1","Missense_Mutation",16
"SORL1","Missense_Mutation",16
"SPDL1","Missense_Mutation",16
"SRRD","In_Frame_Del",8
"SRRD","Missense_Mutation",8
"STN1","Missense_Mutation",16
"SYNE3","In_Frame_Del",2
"SYNE3","Missense_Mutation",14
"TAF1C","Missense_Mutation",16
"TANC1","Missense_Mutation",16
"TECTA","Missense_Mutation",16
"TMEM140","Missense_Mutation",16
"TMEM221","Missense_Mutation",16
"TMEM244","Missense_Mutation",16
"TOPBP1","Missense_Mutation",16
"TRARG1","Missense_Mutation",16
"TXNDC2","Missense_Mutation",16
"UNC13A","Missense_Mutation",16
"WDR38","Missense_Mutation",16
"XIRP1","Missense_Mutation",16
"ZAR1","Missense_Mutation",16
"ZNF518B","Missense_Mutation",16
"ZNF610","Missense_Mutation",16
"ZNF628","Missense_Mutation",16
"ACSF3","Missense_Mutation",15
"ADGRF5","Missense_Mutation",15
"ALK","Missense_Mutation",15
"ANPEP","Missense_Mutation",15
"C14orf39","Missense_Mutation",15
"C2CD6","Missense_Mutation",15
"C7","Missense_Mutation",15
"CAPN13","Missense_Mutation",15
"CASP5","Frame_Shift_Ins",2
"CASP5","Missense_Mutation",13
"CCDC102B","Missense_Mutation",15
"CCDC181","Missense_Mutation",15
"CCDC198","Missense_Mutation",8
"CCDC198","Nonsense_Mutation",1
"CCDC198","Splice_Site",6
"CD101","Missense_Mutation",15
"CD163L1","Missense_Mutation",15
"CDK5RAP2","Missense_Mutation",15
"CFAP65","Missense_Mutation",15
"CNTNAP4","Missense_Mutation",15
"DOP1B","Missense_Mutation",15
"DPP10","Missense_Mutation",15
"DRC1","Missense_Mutation",15
"DYNC2I1","In_Frame_Del",2
"DYNC2I1","Missense_Mutation",13
"EEF1AKMT4","Missense_Mutation",15
"EFL1","Missense_Mutation",15
"FAM131C","Missense_Mutation",15
"FAM167A","Missense_Mutation",15
"FAM177B","Missense_Mutation",15
"FHAD1","Missense_Mutation",14
"FHAD1","Splice_Site",1
"GALNT8","Frame_Shift_Ins",2
"GALNT8","Missense_Mutation",13
"GLB1L3","Missense_Mutation",15
"GOLGA1","Missense_Mutation",15
"GSPT1","In_Frame_Del",1
"GSPT1","In_Frame_Ins",2
"GSPT1","Missense_Mutation",12
"HOXB1","In_Frame_Ins",4
"HOXB1","Missense_Mutation",11
"HSD17B4","Missense_Mutation",15
"IDUA","Missense_Mutation",15
"IGSF3","In_Frame_Ins",5
"IGSF3","Missense_Mutation",10
"KATNIP","Missense_Mutation",15
"KIR3DL3","Missense_Mutation",15
"KLRC4","Missense_Mutation",15
"KLRF2","Missense_Mutation",15
"KRT76","Missense_Mutation",15
"LSS","Missense_Mutation",15
"LVRN","Missense_Mutation",15
"MBIP","Missense_Mutation",15
"MEIOB","Missense_Mutation",15
"METTL22","Missense_Mutation",15
"MLH3","Missense_Mutation",15
"MMS22L","Missense_Mutation",15
"MTHFSD","Missense_Mutation",15
"NIBAN3","Missense_Mutation",15
"NME8","Missense_Mutation",15
"NPIPB2","Frame_Shift_Del",8
"NPIPB2","Missense_Mutation",7
"NUTM1","Missense_Mutation",15
"OR2D3","Missense_Mutation",15
"OR51G1","Missense_Mutation",15
"OR6K3","Missense_Mutation",15
"OXA1L","In_Frame_Ins",6
"OXA1L","Missense_Mutation",9
"PARD3B","Missense_Mutation",15
"PCNX4","Missense_Mutation",15
"PLEK","Missense_Mutation",15
"PLIN5","In_Frame_Del",1
"PLIN5","Missense_Mutation",14
"PLXNB2","Missense_Mutation",15
"PYY","Missense_Mutation",15
"REV1","Missense_Mutation",15
"RNASE9","Missense_Mutation",15
"RPS6KA2","Missense_Mutation",15
"RWDD3","Missense_Mutation",15
"SALL2","Missense_Mutation",15
"SAXO1","Missense_Mutation",15
"SCAF1","In_Frame_Del",4
"SCAF1","Missense_Mutation",11
"SELENON","Missense_Mutation",15
"SETDB2","Missense_Mutation",15
"SLC12A8","Missense_Mutation",15
"SLC16A8","Missense_Mutation",15
"SLC39A2","Missense_Mutation",15
"SLC4A3","Missense_Mutation",15
"SLFN12","Missense_Mutation",15
"SLIT3","Missense_Mutation",15
"SMPD1","In_Frame_Del",5
